original_url,destination,status,sitemap
https://colorsofdesign.com/,/,Preserved,pages
https://colorsofdesign.com/cart/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/es/politicas-de-privacidad/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/privacy-policy/,/privacy-policy/,Preserved,pages
https://colorsofdesign.com/account/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/es/mi-cuenta/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/compra/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/tienda-online/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/asesoria-profesional-diseno-interior/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/north-carolina-luxury-interior-design-services/,,Legacy content: migrate or explicitly retire before domain cutover,pages
https://colorsofdesign.com/key-biscayne-luxury-interior-design-services/,,Legacy content: migrate or explicitly retire before domain cutover,pages
https://colorsofdesign.com/vero-beach-luxury-interior-design-services/,,Legacy content: migrate or explicitly retire before domain cutover,pages
https://colorsofdesign.com/es/servicio-de-diseno-de-interior-profesional-key-biscayne/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/servicio-de-diseno-de-interior-profesional-vero-beach/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/servicio-de-diseno-de-interior-profesional-carolina-del-norte/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/work-process/,/work-process/,Preserved,pages
https://colorsofdesign.com/contact-us/,/contact-us/,Preserved,pages
https://colorsofdesign.com/online-store/luxury-home-decor-sale/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/terms-and-conditions/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/online-store/interior-design-daily-specials/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/online-store/interior-design-best-sellers/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/es/servicios-de-disenos-de-interiores/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/proceso-de-trabajo/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/contacto/,,Keep on legacy site until Spanish content is migrated,pages
